DU_id x_geo y_geo z_geo
1 520.2513 -272.6353 1231.0550
1029 0.0000 0.0000 1235.3510
1032 -500.2979 286.1670 1243.2746
1041 -499.0146 -296.2241 1243.7757
1089 498.2935 281.7659 1230.9608
1083 6.1016 -588.5636 1234.0544
1066 0.2227 571.5584 1239.2377
1074 -501.9205 865.1931 1247.9017
1081 -502.1590 -870.2081 1244.1437
1046 496.9649 -873.0604 1225.9966
1037 497.8980 859.3442 1235.2136
1078 -1001.5561 0.7701 1252.8772
1093 997.2860 -3.1906 1221.3657
1082 -1.5903 -1159.5324 1235.0948
1077 -1.6186 1151.0559 1244.7370
1035 -999.6968 575.6550 1253.2519
1020 -1002.1497 -580.6026 1253.6672
1058 1000.0491 -581.8516 1217.2794
1051 999.5901 568.5673 1227.4404
1019 -1002.6092 1153.3873 1257.0136
1047 -1003.2284 -1156.0714 1253.6225
1092 1000.8496 -1161.0778 1217.3848
1052 1000.2634 1148.3859 1231.8229
1014 -1502.3896 287.7608 1262.6129
1073 -1501.6516 -290.9836 1264.1385
1065 1497.2980 -293.9723 1213.5881
1054 1498.9306 282.3310 1218.2547
1042 -495.4425 1445.1224 1252.7909
1012 -504.4853 -1447.5890 1244.1653
1013 495.8934 -1448.5173 1225.6857
1072 498.3766 1437.7444 1240.7591
1059 -1499.8506 865.1561 1261.9188
1085 -1500.5743 -869.6110 1263.7118
1038 1498.7512 -872.0326 1209.2306
1075 1498.4268 858.7007 1222.7198
1076 -5.4932 -1734.0488 1234.0863
1049 1.9506 1731.4097 1248.9246
1091 -2001.4764 4.9794 1273.9864
1023 1990.9158 -9.7705 1207.9151
1034 -1000.1037 1727.7727 1261.4919
1011 -1004.9036 -1736.0932 1253.8254
1084 998.4053 -1738.0064 1216.4478
109 988.5475 1725.7752 1235.2530
1033 -498.3227 2018.9326 1256.4134
1088 -501.5275 -2018.7915 1243.1244
1045 494.1058 -2020.0064 1224.4983
1030 500.5687 2018.6847 1243.0903
1022 -2008.1398 585.8093 1271.9158
1094 -1999.6745 -578.6894 1274.6723
1016 1997.4396 -583.5336 1205.6642
1043 2001.9137 571.0481 1214.5309
1071 -1501.1273 1442.3395 1265.4366
1024 -1502.9412 -1445.1683 1263.9196
1090 1498.7354 -1448.1896 1209.4376
1048 1500.7542 1439.5488 1227.3343
103 -500.5162 2594.3425 1260.2098
1055 506.2248 2595.8806 1245.4329
1017 -1992.4398 1734.9227 1275.0530
1040 2000.0413 1729.2343 1222.6219
1044 -1497.1437 2601.0890 1274.0538
1010 1503.6098 2596.6789 1233.6881
1039 2.1840 3463.1285 1257.3438
1018 -997.7679 3450.4570 1272.2641
1056 1002.0520 3461.4129 1244.2919
1086 -497.3074 4326.6109 1268.8330
1057 500.6309 4326.0959 1254.8101
